State/UT,OBC,Total,Percent
Puducherry,48,72,66.67
Tamil Nadu,2767,4161,66.5
Bihar,4569,7741,59.02
Kerala,1294,2426,53.34
Goa,51,105,48.57
Sikkim,60,124,48.39
Karnataka,1759,3688,47.7
Gujarat,1717,3853,44.56
Uttar Pradesh,11409,26734,42.68
Rajasthan,2036,5131,39.68
Jharkhand,1922,5084,37.8
Telangana,678,1910,35.5
Madhya Pradesh,4644,13652,34.02
Chhattisgarh,2075,6102,34.01
Dadra and Nagar Haveli and Daman and Diu,5,15,33.33
Andhra Pradesh,730,2360,30.93
Delhi,415,1470,28.23
Maharashtra,1552,5550,27.96
Odisha,830,3245,25.58
Uttarakhand,518,2063,25.11
Haryana,772,3338,23.13
Assam,543,2779,19.54
Chandigarh,66,349,18.91
Punjab,513,2779,18.46
Tripura,69,395,17.47
A & N Islands,19,137,13.87
West Bengal,679,5367,12.65
Nagaland,12,95,12.63
Himachal Pradesh,80,853,9.38
Manipur,6,105,5.71
Arunachal Pradesh,6,126,4.76
Jammu & Kashmir,6,159,3.77
Mizoram,0,437,0.0
Meghalaya,0,178,0.0
Ladakh,0,5,0.0
Lakshadweep,0,1,0.0
