State/UT,Others,Total,Percent
Jammu & Kashmir,137,159,86.16
A & N Islands,117,137,85.4
Ladakh,4,5,80.0
Manipur,82,105,78.1
West Bengal,3487,5367,64.97
Himachal Pradesh,477,853,55.92
Assam,1384,2779,49.8
Delhi,721,1470,49.05
Chandigarh,160,349,45.85
Punjab,1271,2779,45.74
Haryana,1467,3338,43.95
Uttarakhand,876,2063,42.46
Dadra and Nagar Haveli and Daman and Diu,6,15,40.0
Arunachal Pradesh,50,126,39.68
Maharashtra,2201,5550,39.66
Goa,37,105,35.24
Telangana,619,1910,32.41
Tripura,126,395,31.9
Uttar Pradesh,7814,26734,29.23
Kerala,635,2426,26.17
Bihar,1908,7741,24.65
Rajasthan,1264,5131,24.63
Andhra Pradesh,562,2360,23.81
Karnataka,810,3688,21.96
Gujarat,845,3853,21.93
Madhya Pradesh,2503,13652,18.33
Jharkhand,792,5084,15.58
Odisha,467,3245,14.39
Sikkim,16,124,12.9
Chhattisgarh,597,6102,9.78
Meghalaya,15,178,8.43
Tamil Nadu,170,4161,4.09
Nagaland,2,95,2.11
Mizoram,6,437,1.37
Lakshadweep,0,1,0.0
Puducherry,0,72,0.0
