State/UT,SC,Total,Percent
Chandigarh,123,349,35.24
Punjab,930,2779,33.47
Puducherry,24,72,33.33
Himachal Pradesh,250,853,29.31
Haryana,977,3338,29.27
Andhra Pradesh,637,2360,26.99
Uttarakhand,540,2063,26.18
Tamil Nadu,1086,4161,26.1
Odisha,822,3245,25.33
Uttar Pradesh,6522,26734,24.4
Madhya Pradesh,2994,13652,21.93
Maharashtra,1163,5550,20.95
Telangana,399,1910,20.89
Delhi,307,1470,20.88
Rajasthan,1023,5131,19.94
Karnataka,735,3688,19.93
Assam,499,2779,17.96
Chhattisgarh,970,6102,15.9
West Bengal,852,5367,15.87
Tripura,58,395,14.68
Kerala,342,2426,14.1
Bihar,1091,7741,14.09
Jharkhand,680,5084,13.38
Dadra and Nagar Haveli and Daman and Diu,2,15,13.33
Gujarat,408,3853,10.59
Jammu & Kashmir,14,159,8.81
Goa,8,105,7.62
Sikkim,9,124,7.26
Nagaland,6,95,6.32
Mizoram,18,437,4.12
Meghalaya,6,178,3.37
Manipur,3,105,2.86
Arunachal Pradesh,0,126,0.0
A & N Islands,0,137,0.0
Ladakh,0,5,0.0
Lakshadweep,0,1,0.0
