State,Count,% of India
Uttar Pradesh,618,32.22106360792492
Madhya Pradesh,266,13.86861313868613
Rajasthan,159,8.289885297184567
Bihar,100,5.213764337851929
Tamil Nadu,94,4.900938477580814
Maharashtra,89,4.640250260688217
Uttarakhand,81,4.223149113660062
Gujarat,68,3.545359749739311
Haryana,57,2.971845672575599
Karnataka,51,2.659019812304484
Andhra Pradesh,48,2.502606882168926
Jharkhand,42,2.18978102189781
Telangana,40,2.085505735140771
Punjab,35,1.824817518248175
Chhattisgarh,31,1.616266944734098
West Bengal,29,1.51199165797706
Kerala,25,1.303441084462982
Delhi,25,1.303441084462982
Himachal Pradesh,19,0.9906152241918665
Odisha,14,0.7299270072992701
Chandigarh,10,0.5213764337851928
Assam,5,0.2606882168925964
Jammu & Kashmir,5,0.2606882168925964
Goa,2,0.1042752867570386
Tripura,2,0.1042752867570386
A & N Islands,1,0.05213764337851929
Puducherry,1,0.05213764337851929
Mizoram,1,0.05213764337851929
Arunachal Pradesh,0,0.0
Nagaland,0,0.0
Manipur,0,0.0
Meghalaya,0,0.0
Sikkim,0,0.0
Dadra and Nagar Haveli and Daman and Diu,0,0.0
Ladakh,0,0.0
Lakshadweep,0,0.0
