State,Count,% of India
Uttar Pradesh,9718,20.5376389534638
Madhya Pradesh,5728,12.10532989559998
Chhattisgarh,3490,7.375628724798173
Maharashtra,2658,5.617312650576947
Bihar,2629,5.55602519125914
Jharkhand,2330,4.924130352085887
Gujarat,2283,4.824802400777717
West Bengal,2170,4.585992645504882
Rajasthan,1871,3.954097806331629
Odisha,1697,3.586373050424786
Tamil Nadu,1677,3.54410583710216
Kerala,1461,3.087619933217803
Assam,1397,2.952364850585401
Haryana,1211,2.559279766684983
Andhra Pradesh,1136,2.400777716725136
Karnataka,1080,2.282429519421784
Punjab,999,2.111247305465151
Telangana,817,1.726615664229257
Uttarakhand,751,1.587133860264593
Delhi,569,1.202502219028699
Himachal Pradesh,401,0.847457627118644
Mizoram,308,0.6509150851684348
Tripura,297,0.6276681178409907
Chandigarh,123,0.2599433619341477
A & N Islands,98,0.2071093452808656
Meghalaya,86,0.1817490172872903
Sikkim,74,0.1563886892937149
Arunachal Pradesh,63,0.1331417219662707
Nagaland,59,0.1246882793017456
Jammu & Kashmir,53,0.112008115304958
Puducherry,32,0.06762754131620102
Manipur,24,0.05072065598715077
Goa,22,0.0464939346548882
Ladakh,3,0.006340081998393847
Dadra and Nagar Haveli and Daman and Diu,2,0.004226721332262564
Lakshadweep,1,0.002113360666131282
