State,Count,% of India
Uttar Pradesh,1866,25.82698961937716
Madhya Pradesh,982,13.5916955017301
Bihar,677,9.37024221453287
Rajasthan,451,6.242214532871972
Maharashtra,397,5.494809688581315
Haryana,324,4.484429065743944
Tamil Nadu,276,3.820069204152249
Jharkhand,233,3.224913494809688
Karnataka,220,3.044982698961938
Uttarakhand,194,2.685121107266436
West Bengal,193,2.671280276816609
Andhra Pradesh,185,2.560553633217993
Chhattisgarh,174,2.408304498269896
Telangana,168,2.325259515570934
Punjab,165,2.283737024221453
Odisha,148,2.048442906574394
Delhi,141,1.951557093425605
Kerala,113,1.56401384083045
Gujarat,94,1.301038062283737
Assam,70,0.9688581314878892
Himachal Pradesh,32,0.4429065743944637
Chandigarh,28,0.3875432525951557
Manipur,21,0.2906574394463668
Tripura,21,0.2906574394463668
Mizoram,15,0.2076124567474049
Jammu & Kashmir,12,0.1660899653979239
Goa,7,0.09688581314878893
Puducherry,6,0.08304498269896193
Sikkim,3,0.04152249134948097
Nagaland,3,0.04152249134948097
Arunachal Pradesh,2,0.02768166089965398
Meghalaya,2,0.02768166089965398
A & N Islands,2,0.02768166089965398
Dadra and Nagar Haveli and Daman and Diu,0,0.0
Ladakh,0,0.0
Lakshadweep,0,0.0
