State,Count,% of India
Uttar Pradesh,8394,27.79838389190622
Madhya Pradesh,3680,12.18704464167439
Bihar,2171,7.189693999205193
West Bengal,1982,6.563783282553981
Chhattisgarh,1600,5.298715061597563
Tamil Nadu,1334,4.417803682606968
Rajasthan,1312,4.344946350510001
Jharkhand,1158,3.834945025831236
Karnataka,1039,3.440853093124917
Odisha,1007,3.334878791892966
Maharashtra,876,2.901046496224665
Punjab,823,2.725526559809246
Gujarat,819,2.712279772155252
Assam,733,2.427473837594383
Haryana,707,2.341369717843423
Andhra Pradesh,616,2.040005298715062
Uttarakhand,529,1.751887667240694
Telangana,421,1.394224400582859
Delhi,297,0.9835739833090477
Kerala,169,0.5596767783812425
Himachal Pradesh,107,0.354351569744337
Meghalaya,74,0.2450655715988873
Chandigarh,73,0.2417538746853888
Jammu & Kashmir,57,0.1887667240694132
Arunachal Pradesh,36,0.1192210888859452
Goa,34,0.1125976950589482
Sikkim,33,0.1092859981454497
Tripura,31,0.1026626043184528
A & N Islands,23,0.07616902901046496
Manipur,15,0.04967545370247715
Mizoram,15,0.04967545370247715
Dadra and Nagar Haveli and Daman and Diu,12,0.03974036296198172
Nagaland,11,0.03642866604848324
Puducherry,6,0.01987018148099086
Ladakh,2,0.006623393826996954
Lakshadweep,0,0.0
