State,Count,% of India
Uttar Pradesh,5961,24.23564807285737
Madhya Pradesh,2831,11.5100016262807
Bihar,2127,8.647747601235974
Maharashtra,1396,5.675719629208001
Jharkhand,1238,5.033338754268986
Rajasthan,1228,4.992681736867784
Karnataka,1164,4.732476825500082
Haryana,1012,4.114490161001789
West Bengal,983,3.996584810538299
Chhattisgarh,795,3.232232883395674
Punjab,738,3.000487884208814
Tamil Nadu,598,2.431289640591966
Kerala,584,2.374369816230281
Gujarat,580,2.3581070092698
Assam,571,2.321515693608717
Uttarakhand,483,1.963733940478126
Telangana,441,1.792974467393072
Delhi,419,1.703529029110424
Odisha,360,1.463652626443324
Andhra Pradesh,322,1.309155960318751
Himachal Pradesh,294,1.195316311595381
Chandigarh,110,0.4472271914132379
Mizoram,93,0.3781102618311921
Tripura,44,0.1788908765652952
Manipur,42,0.1707594730850545
Goa,38,0.1544966661245731
Jammu & Kashmir,32,0.130102455683851
Arunachal Pradesh,25,0.1016425435030086
Puducherry,22,0.08944543828264759
Nagaland,22,0.08944543828264759
Meghalaya,15,0.06098552610180517
Sikkim,14,0.05691982436168483
A & N Islands,13,0.05285412262156448
Dadra and Nagar Haveli and Daman and Diu,1,0.004065701740120345
Ladakh,0,0.0
Lakshadweep,0,0.0
