State/UT,Numerator,Denominator,Percent
Andhra Pradesh,61,185,32.97
Arunachal Pradesh,2,4,50.0
Assam,3,35,8.57
Bihar,3491,4062,85.94
Chhattisgarh,40,34,117.65
Goa,3,14,21.43
Gujarat,182,209,87.08
Haryana,10,43,23.26
Himachal Pradesh,6,11,54.55
Jharkhand,1,1,100.0
Karnataka,19,54,35.19
Kerala,50,94,53.19
Madhya Pradesh,18,33,54.55
Maharashtra,150,448,33.48
Manipur,0,8,0.0
Meghalaya,0,2,0.0
Mizoram,0,0,0.0
Nagaland,0,0,0.0
Odisha,17,59,28.81
Punjab,23,94,24.47
Rajasthan,49,245,20.0
Sikkim,15,27,55.56
Tamil Nadu,51,113,45.13
Telangana,42,91,46.15
Tripura,2,2,100.0
Uttar Pradesh,29,105,27.62
Uttarakhand,8,9,88.89
West Bengal,3,5,60.0
Andaman and Nicobar Islands,12,22,54.55
Chandigarh,4,6,66.67
Dadra and Nagar Haveli and Daman and Diu,27,21,128.57
Delhi,9,0,0.0
Jammu and Kashmir,63,128,49.22
Ladakh,0,0,0.0
Lakshadweep,0,0,0.0
Puducherry,0,0,0.0
