State/UT,Numerator,Denominator,Percent
Andhra Pradesh,18,185,9.73
Arunachal Pradesh,0,4,0.0
Assam,6,35,17.14
Bihar,514,4062,12.65
Chhattisgarh,18,34,52.94
Goa,0,14,0.0
Gujarat,878,209,420.1
Haryana,12,43,27.91
Himachal Pradesh,47,11,427.27
Jharkhand,0,1,0.0
Karnataka,4,54,7.41
Kerala,19,94,20.21
Madhya Pradesh,15,33,45.45
Maharashtra,14,448,3.12
Manipur,0,8,0.0
Meghalaya,1,2,50.0
Mizoram,0,0,0.0
Nagaland,0,0,0.0
Odisha,3,59,5.08
Punjab,19,94,20.21
Rajasthan,124,245,50.61
Sikkim,5,27,18.52
Tamil Nadu,14,113,12.39
Telangana,14,91,15.38
Tripura,0,2,0.0
Uttar Pradesh,19,105,18.1
Uttarakhand,3,9,33.33
West Bengal,0,5,0.0
Andaman and Nicobar Islands,1,22,4.55
Chandigarh,2,6,33.33
Dadra and Nagar Haveli and Daman and Diu,12,21,57.14
Delhi,2,0,0.0
Jammu and Kashmir,46,128,35.94
Ladakh,0,0,0.0
Lakshadweep,0,0,0.0
Puducherry,0,0,0.0
