State/UT,Numerator,Denominator,Percent
Andhra Pradesh,12,103,11.65
Arunachal Pradesh,0,8,0.0
Assam,0,10,0.0
Bihar,0,7,0.0
Chhattisgarh,1,34,2.94
Goa,0,4,0.0
Gujarat,1,203,0.49
Haryana,0,15,0.0
Himachal Pradesh,0,2,0.0
Jharkhand,0,1,0.0
Karnataka,0,41,0.0
Kerala,10,34,29.41
Madhya Pradesh,168,16,1050.0
Maharashtra,0,244,0.0
Manipur,0,12,0.0
Meghalaya,0,1,0.0
Mizoram,0,0,0.0
Nagaland,0,0,0.0
Odisha,0,4,0.0
Punjab,7,67,10.45
Rajasthan,1,37,2.7
Sikkim,0,0,0.0
Tamil Nadu,0,71,0.0
Telangana,1,50,2.0
Tripura,0,1,0.0
Uttar Pradesh,6,51,11.76
Uttarakhand,1,3,33.33
West Bengal,2,4,50.0
Andaman and Nicobar Islands,1,19,5.26
Chandigarh,1,6,16.67
Dadra and Nagar Haveli and Daman and Diu,10,0,0.0
Delhi,1,0,0.0
Jammu and Kashmir,2,115,1.74
Ladakh,0,0,0.0
Lakshadweep,0,0,0.0
Puducherry,0,0,0.0
