State/UT,Numerator,Denominator,Percent
Andhra Pradesh,45,103,43.69
Arunachal Pradesh,4,8,50.0
Assam,2,10,20.0
Bihar,6,7,85.71
Chhattisgarh,33,34,97.06
Goa,3,4,75.0
Gujarat,178,203,87.68
Haryana,9,15,60.0
Himachal Pradesh,6,2,300.0
Jharkhand,1,1,100.0
Karnataka,30,41,73.17
Kerala,38,34,111.76
Madhya Pradesh,24,16,150.0
Maharashtra,156,244,63.93
Manipur,0,12,0.0
Meghalaya,0,1,0.0
Mizoram,0,0,0.0
Nagaland,0,0,0.0
Odisha,4,4,100.0
Punjab,26,67,38.81
Rajasthan,37,37,100.0
Sikkim,0,0,0.0
Tamil Nadu,39,71,54.93
Telangana,40,50,80.0
Tripura,1,1,100.0
Uttar Pradesh,33,51,64.71
Uttarakhand,6,3,200.0
West Bengal,4,4,100.0
Andaman and Nicobar Islands,12,19,63.16
Chandigarh,4,6,66.67
Dadra and Nagar Haveli and Daman and Diu,0,0,0.0
Delhi,14,0,0.0
Jammu and Kashmir,77,115,66.96
Ladakh,0,0,0.0
Lakshadweep,0,0,0.0
Puducherry,0,0,0.0
