State/UT,Numerator,Denominator,Percent
Andhra Pradesh,0,103,0.0
Arunachal Pradesh,0,8,0.0
Assam,0,10,0.0
Bihar,0,7,0.0
Chhattisgarh,2,34,5.88
Goa,0,4,0.0
Gujarat,0,203,0.0
Haryana,0,15,0.0
Himachal Pradesh,0,2,0.0
Jharkhand,0,1,0.0
Karnataka,0,41,0.0
Kerala,2,34,5.88
Madhya Pradesh,3,16,18.75
Maharashtra,0,244,0.0
Manipur,0,12,0.0
Meghalaya,0,1,0.0
Mizoram,0,0,0.0
Nagaland,0,0,0.0
Odisha,0,4,0.0
Punjab,1,67,1.49
Rajasthan,0,37,0.0
Sikkim,0,0,0.0
Tamil Nadu,1,71,1.41
Telangana,2,50,4.0
Tripura,0,1,0.0
Uttar Pradesh,0,51,0.0
Uttarakhand,0,3,0.0
West Bengal,0,4,0.0
Andaman and Nicobar Islands,0,19,0.0
Chandigarh,0,6,0.0
Dadra and Nagar Haveli and Daman and Diu,1,0,0.0
Delhi,1,0,0.0
Jammu and Kashmir,2,115,1.74
Ladakh,0,0,0.0
Lakshadweep,0,0,0.0
Puducherry,0,0,0.0
