State/UT,Numerator,Denominator,Percent
Andhra Pradesh,12,45,26.67
Arunachal Pradesh,0,4,0.0
Assam,0,2,0.0
Bihar,0,6,0.0
Chhattisgarh,3,33,9.09
Goa,0,3,0.0
Gujarat,1,178,0.56
Haryana,0,9,0.0
Himachal Pradesh,0,6,0.0
Jharkhand,0,1,0.0
Karnataka,0,30,0.0
Kerala,12,38,31.58
Madhya Pradesh,171,24,712.5
Maharashtra,0,156,0.0
Manipur,0,0,0.0
Meghalaya,0,0,0.0
Mizoram,0,0,0.0
Nagaland,0,0,0.0
Odisha,0,4,0.0
Punjab,8,26,30.77
Rajasthan,1,37,2.7
Sikkim,0,0,0.0
Tamil Nadu,1,39,2.56
Telangana,3,40,7.5
Tripura,0,1,0.0
Uttar Pradesh,6,33,18.18
Uttarakhand,1,6,16.67
West Bengal,2,4,50.0
Andaman and Nicobar Islands,1,12,8.33
Chandigarh,1,4,25.0
Dadra and Nagar Haveli and Daman and Diu,11,0,0.0
Delhi,2,14,14.29
Jammu and Kashmir,4,77,5.19
Ladakh,0,0,0.0
Lakshadweep,0,0,0.0
Puducherry,0,0,0.0
