State/UT,Value
Andhra Pradesh,80.12711864406779
Arunachal Pradesh,41.26984126984127
Assam,48.03886290032386
Bihar,83.87805193127504
Chhattisgarh,92.29760734185513
Goa,72.38095238095238
Gujarat,79.15909680768233
Haryana,76.66267225883763
Himachal Pradesh,91.0902696365768
Jharkhand,70.88906372934697
Karnataka,77.44034707158352
Kerala,47.27947238252267
Madhya Pradesh,85.28420744213302
Maharashtra,66.3963963963964
Manipur,69.52380952380952
Meghalaya,10.1123595505618
Mizoram,2.745995423340961
Nagaland,14.73684210526316
Odisha,91.03235747303545
Punjab,29.79489024829075
Rajasthan,81.15377119469889
Sikkim,66.12903225806451
Tamil Nadu,76.35183850036049
Telangana,63.40314136125654
Tripura,76.20253164556962
Uttar Pradesh,79.21747587341962
Uttarakhand,66.31119728550654
West Bengal,65.5114589155953
A & N Islands,55.47445255474452
Chandigarh,83.0945558739255
Dadra and Nagar Haveli and Daman and Diu,66.66666666666666
Delhi,73.60544217687075
Jammu & Kashmir,46.54088050314466
Ladakh,60.0
Lakshadweep,0.0
Puducherry,87.5
