State/UT,Value
Andhra Pradesh,10.63559322033898
Arunachal Pradesh,4.761904761904762
Assam,47.24721122706009
Bihar,15.82482883348404
Chhattisgarh,3.474270730907899
Goa,10.47619047619048
Gujarat,19.59512068518038
Haryana,16.71659676452966
Himachal Pradesh,4.454865181711607
Jharkhand,12.62785208497246
Karnataka,18.46529284164859
Kerala,32.64633140972795
Madhya Pradesh,13.00175798417814
Maharashtra,20.25225225225226
Manipur,11.42857142857143
Meghalaya,5.617977528089887
Mizoram,4.347826086956522
Nagaland,5.263157894736842
Odisha,2.681047765793529
Punjab,7.304785894206549
Rajasthan,14.05184174624829
Sikkim,0.0
Tamil Nadu,13.43427060802692
Telangana,23.56020942408377
Tripura,11.89873417721519
Uttar Pradesh,20.24014363731578
Uttarakhand,22.15220552593311
West Bengal,33.42649524874231
A & N Islands,13.86861313868613
Chandigarh,6.59025787965616
Dadra and Nagar Haveli and Daman and Diu,33.33333333333333
Delhi,21.49659863945578
Jammu & Kashmir,47.79874213836478
Ladakh,20.0
Lakshadweep,100.0
Puducherry,6.944444444444445
