State/UT,Value
Andhra Pradesh,0.0
Arunachal Pradesh,0.0
Assam,1.619287513494063
Bihar,0.0904275933341945
Chhattisgarh,0.5244182235332678
Goa,0.0
Gujarat,0.3114456267843239
Haryana,5.30257639304973
Himachal Pradesh,3.868698710433764
Jharkhand,0.8261211644374508
Karnataka,0.1084598698481562
Kerala,0.0
Madhya Pradesh,0.7471432757105186
Maharashtra,1.297297297297297
Manipur,0.0
Meghalaya,0.0
Mizoram,0.0
Nagaland,3.157894736842105
Odisha,0.0
Punjab,52.96869377473912
Rajasthan,3.839407522900019
Sikkim,0.0
Tamil Nadu,0.0
Telangana,1.518324607329843
Tripura,0.0
Uttar Pradesh,0.4264232812149323
Uttarakhand,9.45225399903054
West Bengal,0.0186323830817961
A & N Islands,0.0
Chandigarh,8.882521489971348
Dadra and Nagar Haveli and Daman and Diu,0.0
Delhi,1.700680272108844
Jammu & Kashmir,4.40251572327044
Ladakh,0.0
Lakshadweep,0.0
Puducherry,0.0
