State,Total_2020_2022
Tamil Nadu,1408465
Maharashtra,1135273
Uttar Pradesh,1114802
Madhya Pradesh,886525
Delhi,841525
Gujarat,789505
Rajasthan,643921
Bihar,591783
Kerala,527600
Andhra Pradesh,527155
West Bengal,472061
Telangana,433865
Odisha,376903
Karnataka,351539
Haryana,341431
Assam,290756
Chhattisgarh,209557
Jharkhand,147443
Punjab,140062
Jammu and Kashmir,78595
Uttarakhand,46483
Himachal Pradesh,41075
Puducherry,13813
Tripura,11796
Meghalaya,8457
Goa,8203
Chandigarh,7925
Manipur,7862
Mizoram,7841
Arunachal Pradesh,7178
Nagaland,3063
Dadra and Nagar Haveli and Daman and Diu,2115
Sikkim,1585
Ladakh,1345
Andaman and Nicobar Islands,1328
Lakshadweep,260
