State,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,CRUELTY BY HUSBAND OR RELATIVES,DOWRY DEATH,IMMORAL TRAFFIC(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INSULT TO THE MODESTY OF WOMEN,KIDNAPPING & ABDUCTION,RAPE
A&N Islands,214,121,6,10,0,43,77,109
Andhra Pradesh,51999,119007,6215,7060,13029,36131,14936,13479
Arunachal Pradesh,784,167,2,1,0,18,558,500
Assam,13620,39388,1276,295,19,112,22920,16178
Bihar,7576,25680,13548,301,10,226,19389,13124
Chandigarh,314,807,42,51,2,143,534,281
Chhattisgarh,19165,9573,1142,118,3,1725,2630,11838
D&N Haveli,50,38,1,11,0,4,94,56
Daman & Diu,15,35,3,39,0,2,15,20
Delhi UT,7534,15211,1582,831,4,1687,15650,6424
Goa,328,191,19,291,4,123,164,350
Gujarat,8998,59431,502,635,18,1365,12918,4249
Haryana,5323,27112,3130,780,2,8188,6129,6410
Himachal Pradesh,3597,3245,55,31,2,439,1541,1804
Jammu & Kashmir,11509,1800,135,51,2,3993,8820,2810
Jharkhand,3985,8409,3291,102,10,247,5282,9159
Karnataka,23699,30052,2918,9687,3,831,5315,5174
Kerala,31490,46074,301,2423,417,3304,1898,7447
Lakshadweep,5,7,0,0,1,0,1,7
Madhya Pradesh,79878,39969,9036,220,3,9317,9243,36087
Maharashtra,39219,80363,4249,3485,56,12110,10853,17986
Manipur,504,219,2,26,0,3,1057,387
Meghalaya,532,165,15,20,0,8,264,1020
Mizoram,816,54,4,18,0,6,10,826
Nagaland,96,9,0,39,0,10,71,220
Odisha,29946,18697,4555,309,3,2939,8291,11430
Puducherry,613,105,26,131,0,284,121,77
Punjab,4047,11998,1546,623,13,762,5385,5459
Rajasthan,30853,100101,5066,998,1075,354,24671,15798
Sikkim,230,44,2,9,0,14,62,195
Tamil Nadu,19329,18188,2317,23221,278,10043,12436,6952
Tripura,2773,6514,314,3,0,39,875,2058
Uttar Pradesh,29698,77617,23824,502,8,26511,47590,19058
Uttarakhand,1545,4142,906,46,0,1519,2334,1378
West Bengal,22871,130668,5172,934,57,1554,21773,20787
