State,Total_cases
A&N Islands,580
Andhra Pradesh,261856
Arunachal Pradesh,2030
Assam,93808
Bihar,79854
Chandigarh,2174
Chhattisgarh,46194
D&N Haveli,254
Daman & Diu,129
Delhi UT,48923
Goa,1470
Gujarat,88116
Haryana,57074
Himachal Pradesh,10714
Jammu & Kashmir,29120
Jharkhand,30485
Karnataka,77679
Kerala,93354
Lakshadweep,21
Madhya Pradesh,183753
Maharashtra,168321
Manipur,2198
Meghalaya,2024
Mizoram,1734
Nagaland,445
Odisha,76170
Puducherry,1357
Punjab,29833
Rajasthan,178916
Sikkim,556
Tamil Nadu,92764
Tripura,12576
Uttar Pradesh,224808
Uttarakhand,11870
West Bengal,203816
