State,Percentage of Schools with Computer Facility - All Management,Total Schools - All Management
India,47.5,1489115
Andaman and Nicobar Islands,66.8,416
Andhra Pradesh,51.6,61948
Arunachal Pradesh,34.0,3603
Assam,18.9,60859
Bihar,18.9,93165
Chandigarh,100.0,233
Chhattisgarh,89.4,56512
Dadra and Nagar Haveli and Daman and Diu,89.1,460
Delhi,100.0,5619
Goa,55.3,1510
Gujarat,98.0,53851
Haryana,93.2,23726
Himachal Pradesh,40.5,18028
Jammu and Kashmir,33.4,28805
Jharkhand,85.2,44855
Karnataka,56.4,76450
Kerala,98.3,16240
Ladakh,46.2,978
Lakshadweep,100.0,38
Madhya Pradesh,26.0,125582
Maharashtra,81.4,109605
Manipur,37.0,4617
Meghalaya,18.3,14600
Mizoram,53.5,3911
Nagaland,57.4,2718
Odisha,26.4,62291
Puducherry,99.6,736
Punjab,99.6,27701
Rajasthan,52.0,106373
Sikkim,89.9,1259
Tamil Nadu,78.4,58801
Telangana,42.9,43083
Tripura,32.6,4929
Uttar Pradesh,27.0,258054
Uttarakhand,58.3,22815
West Bengal,18.4,94744
