State,DropoutRate
Andaman and Nicobar Islands,0.2
Andhra Pradesh,0.0
Arunachal Pradesh,9.3
Assam,6.8
Bihar,0.0
Chandigarh,0.0
Chhattisgarh,1.0
Dadra and Nagar Haveli and Daman and Diu,0.0
Delhi,0.0
Goa,0.0
Gujarat,0.0
Haryana,0.0
Himachal Pradesh,0.0
Jammu and Kashmir,3.9
Jharkhand,2.4
Karnataka,0.0
Kerala,0.0
Ladakh,7.5
Lakshadweep,0.5
Madhya Pradesh,3.2
Maharashtra,0.0
Manipur,13.5
Meghalaya,11.1
Mizoram,7.1
Nagaland,5.6
Odisha,0.0
Puducherry,3.7
Punjab,1.6
Rajasthan,3.8
Sikkim,2.9
Tamil Nadu,0.0
Telangana,0.0
Tripura,1.2
Uttar Pradesh,2.4
Uttarakhand,1.0
West Bengal,9.1
