State,DropoutRate
Andaman and Nicobar Islands,0.7
Andhra Pradesh,0.0
Arunachal Pradesh,9.2
Assam,5.2
Bihar,0.0
Chandigarh,0.0
Chhattisgarh,0.6
Dadra and Nagar Haveli and Daman and Diu,0.0
Delhi,0.0
Goa,0.0
Gujarat,0.0
Haryana,0.0
Himachal Pradesh,0.0
Jammu and Kashmir,4.1
Jharkhand,1.1
Karnataka,0.0
Kerala,0.0
Ladakh,5.5
Lakshadweep,0.4
Madhya Pradesh,2.9
Maharashtra,0.0
Manipur,13.0
Meghalaya,8.6
Mizoram,5.6
Nagaland,4.5
Odisha,0.0
Puducherry,3.6
Punjab,1.0
Rajasthan,3.3
Sikkim,0.5
Tamil Nadu,0.0
Telangana,0.0
Tripura,1.0
Uttar Pradesh,3.0
Uttarakhand,0.5
West Bengal,8.2
