State,DropoutRate
Andaman and Nicobar Islands,0.4
Andhra Pradesh,0.0
Arunachal Pradesh,9.3
Assam,6.0
Bihar,0.0
Chandigarh,0.0
Chhattisgarh,0.8
Dadra and Nagar Haveli and Daman and Diu,0.0
Delhi,0.0
Goa,0.0
Gujarat,0.0
Haryana,0.0
Himachal Pradesh,0.0
Jammu and Kashmir,4.0
Jharkhand,1.8
Karnataka,0.0
Kerala,0.0
Ladakh,6.5
Lakshadweep,0.5
Madhya Pradesh,3.1
Maharashtra,0.0
Manipur,13.3
Meghalaya,9.8
Mizoram,6.4
Nagaland,5.0
Odisha,0.0
Puducherry,3.7
Punjab,1.3
Rajasthan,3.6
Sikkim,1.8
Tamil Nadu,0.0
Telangana,0.0
Tripura,1.1
Uttar Pradesh,2.7
Uttarakhand,0.8
West Bengal,8.6
