State,DropoutRate
Andaman and Nicobar Islands,6.0
Andhra Pradesh,17.5
Arunachal Pradesh,11.2
Assam,19.8
Bihar,19.5
Chandigarh,0.0
Chhattisgarh,11.5
Dadra and Nagar Haveli and Daman and Diu,10.5
Delhi,5.9
Goa,12.1
Gujarat,19.4
Haryana,6.7
Himachal Pradesh,2.0
Jammu and Kashmir,5.6
Jharkhand,9.7
Karnataka,16.2
Kerala,6.9
Ladakh,4.0
Lakshadweep,0.4
Madhya Pradesh,10.6
Maharashtra,10.8
Manipur,1.4
Meghalaya,23.3
Mizoram,13.1
Nagaland,18.9
Odisha,29.2
Puducherry,8.4
Punjab,18.3
Rajasthan,7.8
Sikkim,14.6
Tamil Nadu,6.3
Telangana,14.5
Tripura,8.5
Uttar Pradesh,9.5
Uttarakhand,5.4
West Bengal,18.4
