State,DropoutRate
Andaman and Nicobar Islands,3.9
Andhra Pradesh,15.0
Arunachal Pradesh,12.3
Assam,20.7
Bihar,21.4
Chandigarh,0.0
Chhattisgarh,8.1
Dadra and Nagar Haveli and Daman and Diu,8.4
Delhi,3.7
Goa,5.5
Gujarat,15.9
Haryana,4.9
Himachal Pradesh,0.9
Jammu and Kashmir,6.3
Jharkhand,8.9
Karnataka,13.0
Kerala,4.1
Ladakh,5.7
Lakshadweep,0.0
Madhya Pradesh,9.7
Maharashtra,10.6
Manipur,1.2
Meghalaya,20.4
Mizoram,10.8
Nagaland,16.2
Odisha,25.2
Puducherry,4.1
Punjab,16.0
Rajasthan,7.5
Sikkim,9.5
Tamil Nadu,2.5
Telangana,12.9
Tripura,8.2
Uttar Pradesh,10.0
Uttarakhand,4.6
West Bengal,17.7
