State,DropoutRate
Andaman and Nicobar Islands,5.0
Andhra Pradesh,16.3
Arunachal Pradesh,11.7
Assam,20.3
Bihar,20.5
Chandigarh,0.0
Chhattisgarh,9.7
Dadra and Nagar Haveli and Daman and Diu,9.5
Delhi,4.8
Goa,9.0
Gujarat,17.9
Haryana,5.9
Himachal Pradesh,1.5
Jammu and Kashmir,6.0
Jharkhand,9.3
Karnataka,14.7
Kerala,5.5
Ladakh,4.9
Lakshadweep,0.0
Madhya Pradesh,10.1
Maharashtra,10.7
Manipur,1.3
Meghalaya,21.7
Mizoram,11.9
Nagaland,17.5
Odisha,27.3
Puducherry,6.3
Punjab,17.2
Rajasthan,7.7
Sikkim,11.9
Tamil Nadu,4.5
Telangana,13.7
Tripura,8.3
Uttar Pradesh,9.7
Uttarakhand,5.0
West Bengal,18.0
