State,DropoutRate
Andaman and Nicobar Islands,0.9
Andhra Pradesh,1.7
Arunachal Pradesh,4.8
Assam,10.1
Bihar,4.0
Chandigarh,0.0
Chhattisgarh,4.8
Dadra and Nagar Haveli and Daman and Diu,0.0
Delhi,0.0
Goa,0.0
Gujarat,4.2
Haryana,0.3
Himachal Pradesh,0.6
Jammu and Kashmir,2.8
Jharkhand,3.7
Karnataka,1.1
Kerala,0.0
Ladakh,2.2
Lakshadweep,3.2
Madhya Pradesh,8.6
Maharashtra,1.5
Manipur,6.0
Meghalaya,12.0
Mizoram,3.8
Nagaland,4.6
Odisha,8.0
Puducherry,2.8
Punjab,8.7
Rajasthan,4.4
Sikkim,0.0
Tamil Nadu,0.0
Telangana,3.4
Tripura,4.8
Uttar Pradesh,1.3
Uttarakhand,3.0
West Bengal,0.0
