State,DropoutRate
Andaman and Nicobar Islands,1.0
Andhra Pradesh,1.5
Arunachal Pradesh,8.4
Assam,7.6
Bihar,5.2
Chandigarh,0.0
Chhattisgarh,3.3
Dadra and Nagar Haveli and Daman and Diu,0.0
Delhi,0.0
Goa,0.0
Gujarat,5.8
Haryana,0.2
Himachal Pradesh,0.5
Jammu and Kashmir,3.2
Jharkhand,4.0
Karnataka,1.1
Kerala,0.0
Ladakh,0.0
Lakshadweep,1.9
Madhya Pradesh,9.0
Maharashtra,1.6
Manipur,5.2
Meghalaya,9.4
Mizoram,1.6
Nagaland,3.4
Odisha,6.5
Puducherry,2.1
Punjab,7.1
Rajasthan,4.2
Sikkim,0.0
Tamil Nadu,0.0
Telangana,2.9
Tripura,4.3
Uttar Pradesh,4.7
Uttarakhand,2.4
West Bengal,0.0
