State,DropoutRate
Andaman and Nicobar Islands,1.0
Andhra Pradesh,1.6
Arunachal Pradesh,6.7
Assam,8.8
Bihar,4.6
Chandigarh,0.0
Chhattisgarh,4.1
Dadra and Nagar Haveli and Daman and Diu,0.0
Delhi,0.0
Goa,0.0
Gujarat,5.0
Haryana,0.2
Himachal Pradesh,0.6
Jammu and Kashmir,3.0
Jharkhand,3.9
Karnataka,1.1
Kerala,0.0
Ladakh,1.1
Lakshadweep,2.6
Madhya Pradesh,8.8
Maharashtra,1.5
Manipur,5.6
Meghalaya,10.6
Mizoram,2.7
Nagaland,4.0
Odisha,7.3
Puducherry,2.4
Punjab,8.0
Rajasthan,4.3
Sikkim,0.0
Tamil Nadu,0.0
Telangana,3.1
Tripura,4.5
Uttar Pradesh,2.9
Uttarakhand,2.7
West Bengal,0.0
