State,Grand Total,Mobilised Vacancies,Percentage
Andaman and Nicobar Islands,48410.0,1592,3.2885767403429043
Andhra Pradesh,552253.0,115153,20.851493789983937
Arunachal Pradesh,52698.0,4714,8.94531101749592
Assam,1149924.0,39727,3.4547500530469835
Bihar,1814983.0,157727,8.690274233973541
Chandigarh,39565.0,80293,202.93946670036647
Chhattisgarh,264088.0,53198,20.144042894792644
Dadra and Nagar Haveli,3182.0,131,4.116907605279698
Daman and Diu,1472.0,621,42.1875
Delhi,364206.0,279217,76.66457993553098
Goa,95574.0,21245,22.228848850105678
Grand Total,24815027.0,10049859,40.49908549364061
Gujarat,513488.0,244586,47.63227183497959
Haryana,384540.0,196127,51.00301659125188
Himachal Pradesh,450354.0,31222,6.93276844437931
Jammu and Kashmir,219556.0,38043,17.327242252546046
Jharkhand,993102.0,126733,12.761327638047252
Karnataka,494207.0,914759,185.09632603342322
Kerala,306225.0,79804,26.06057637358152
Ladakh,4439.0,42,0.9461590448299165
Lakshadweep,6081.0,1367,22.47985528695938
Madhya Pradesh,1281067.0,116832,9.11989771026808
Maharashtra,5295362.0,917244,17.32164864271791
Manipur,62503.0,2096,3.3534390349263234
Meghalaya,28282.0,1011,3.574711830846475
Mizoram,18069.0,694,3.840832364823731
Nagaland,28436.0,992,3.4885356590237726
Odisha,368631.0,75383,20.44944673670961
Puducherry,126095.0,4835,3.834410563464055
Punjab,789300.0,89815,11.379070062080324
Rajasthan,1435734.0,189270,13.182804057018918
Sikkim,8406.0,1619,19.260052343564123
Tamil Nadu,913285.0,664304,72.73786386505854
Telangana,587230.0,414600,70.60265994584746
Tripura,327346.0,8999,2.7490789562114704
Uttar Pradesh,2586537.0,732185,28.30754015890745
Uttarakhand,237219.0,124790,52.60539838714436
West Bengal,2963178.0,701413,23.670970829292067
