State,2009,2010,2011
Chandigarh,1.0,1.0,1.0
Daman and Diu,1.0,1.0,1.0
Lakshadweep,1.0,1.0,1.0
Dadra and Nagar Haveli,0.9934036939313984,0.9961880559085133,0.9975247524752475
Haryana,0.9129940053285968,0.9202972421933684,0.9034724052816986
Punjab,0.9026850806037581,0.9074469773745711,0.9099568847766442
Gujarat,0.9037336668360235,0.9060303057565514,0.9063756498578636
Sikkim,0.8856870683496071,0.8914027149321267,0.8896328293736501
Puducherry,0.8764749262536873,0.8778877887788779,0.8773722627737226
Andaman and Nicobar Islands,0.8272937548188126,0.8241167434715821,0.834054834054834
